0,1,2,3,4,5,6,7
Tití Me Preguntó,111,F minor,Male,Latin,"['Uplifting', 'Energetic', 'Sexy']","['Luxurious', 'Sophisticated', 'Cool']",3
Me Porto Bonito,184,C# minor,Male,Latin,"['Chill', 'Sexy', 'Uplifting']","['Cool', 'Sophisticated', 'Warm']",2
Single Ladies (Put a Ring on It),194,E major,Female,RnB,"['Energetic', 'Uplifting', 'Aggressive']","['Powerful', 'Sparkling', 'Bold']",3
Crazy In Love (feat. Jay-Z),99,D minor,Female,Rap/Hip-Hop,"['Energetic', 'Uplifting', 'Happy']","['Retro', 'Luxurious', 'Powerful']",3
Time in a Bottle,134,D major,Male,Folk/Country,"['Chill', 'Romantic', 'Calm']","['Warm', 'Sparkling', 'Ethereal']",1
Stereo Version,174,E major,Male,Rock,"['Epic', 'Romantic', 'Happy']","['Sparkling', 'Warm', 'Ethereal']",2
I'll Have To Say I Love You In A Song,134,A major,Male,Folk/Country,"['Chill', 'Calm', 'Romantic']","['Sparkling', 'Warm', 'Ethereal']",1
New York's Not My Home,133,E major,Male,Rock,"['Chill', 'Romantic', 'Calm']","['Retro', 'Warm', 'Cool']",1
2011 Mix,141,Eb major,Female,Rock,"['Epic', 'Energetic', 'Sad']","['Retro', 'Powerful', 'Unpolished']",3
2011 Mix,115,C minor,None,Blues,"['Happy', 'Energetic', 'Uplifting']","['Retro', 'Bold', 'Unpolished']",3
Piano Man,180,C major,Male,Folk/Country,"['Romantic', 'Happy', 'Chill']","['Retro', 'Warm', 'Playful']",2
She's Got a Way,73,F# major,Male,Rock,"['Romantic', 'Chill', 'Happy']","['Warm', 'Sparkling', 'Sophisticated']",2
Vienna,126,Bb major,Male,Pop,"['Chill', 'Romantic', 'Calm']","['Warm', 'Sophisticated', 'Playful']",1
Scenes from an Italian Restaurant,99,C major,Male,Rock,"['Uplifting', 'Energetic', 'Happy']","['Retro', 'Powerful', 'Warm']",3
Uptown Girl,129,B minor,Male,Pop,"['Energetic', 'Uplifting', 'Happy']","['Cool', 'Sparkling', 'Retro']",3
I Like It,136,F minor,Female,Pop,"['Uplifting', 'Energetic', 'Sexy']","['Luxurious', 'Cool', 'Bold']",3
Through Da Storm,149,D minor,Male,Rap/Hip-Hop,"['Chill', 'Calm', 'Ethereal']","['Cool', 'Bold', 'Unpolished']",1
Relationship (feat. Future),146,G major,Male,Rap/Hip-Hop,"['Chill', 'Dark', 'Ethereal']","['Cool', 'Luxurious', 'Bold']",2
Same Drugs,180,F# major,Male,Pop,"['Chill', 'Happy', 'Romantic']","['Retro', 'Warm', 'Playful']",1
All Night (feat. Knox Fortune),112,B minor,Male,Rap/Hip-Hop,"['Energetic', 'Uplifting', 'Happy']","['Cool', 'Warm', 'Luxurious']",3
Smoke Break Freestyle,75,F# minor,Male,Rap/Hip-Hop,"['Sexy', 'Aggressive', 'Energetic']","['Cool', 'Unpolished', 'Bold']",2
Be Something (feat. Lil Baby),136,G minor,Male,Rap/Hip-Hop,"['Chill', 'Ethereal', 'Calm']","['Bold', 'Cool', 'Unpolished']",1
Dyin Breed,160,C major,Male,Rap/Hip-Hop,"['Chill', 'Sexy', 'Ethereal']","['Cool', 'Bold', 'Unpolished']",2
Martin & Gina,94,C# minor,Male,Rap/Hip-Hop,"['Chill', 'Calm', 'Ethereal']","['Bold', 'Heroic', 'Cool']",1
Don't Believe The Hype,160,Bb minor,Male,Rap/Hip-Hop,"['Energetic', 'Uplifting', 'Aggressive']","['Cool', 'Bold', 'Unpolished']",2
RELENTLESS (feat. Lil Uzi Vert),115,F# minor,Male,Rap/Hip-Hop,"['Dark', 'Energetic', 'Ethereal']","['Bold', 'Unpolished', 'Powerful']",3
Honesty,134,G minor,Female,Folk/Country,"['Chill', 'Calm', 'Romantic']","['Warm', 'Retro', 'Sparkling']",1
She's Always a Woman,178,Eb major,Male,Rock,"['Chill', 'Calm', 'Romantic']","['Sparkling', 'Epic', 'Warm']",1
