0,1,2,3,4,5,6,7
Can You Feel My Heart,128,E minor,Male,Rock,"['Energetic', 'Epic', 'Uplifting']","['Powerful', 'Retro', 'Heroic']",3
money machine,99,F# major,Female,RnB,"['Uplifting', 'Energetic', 'Sexy']","['Cool', 'Sparkling', 'Powerful']",3
bad idea!,162,C# minor,Female,Pop,"['Energetic', 'Happy', 'Uplifting']","['Sparkling', 'Cool', 'Warm']",3
Sleepwalking,149,D minor,Male,Metal,"['Energetic', 'Aggressive', 'Uplifting']","['Powerful', 'Epic', 'Unpolished']",3
Shadow Moses,143,Bb minor,Male,Metal,"['Energetic', 'Aggressive', 'Uplifting']","['Powerful', 'Epic', 'Unpolished']",3
Good Girls (Don’t Get Used),150,Eb major,Female,Rock,"['Energetic', 'Happy', 'Uplifting']","['Playful', 'Powerful', 'Unpolished']",3
i hate it here,103,Db major,Female,Pop,"['Sexy', 'Uplifting', 'Energetic']","['Cool', 'Bold', 'Luxurious']",2
Rumour Has It,120,D minor,Male,Rock,"['Epic', 'Energetic', 'Uplifting']","['Mysterious', 'Retro', 'Cool']",3
Weeds,200,Eb major,Female,Rock,"['Energetic', 'Epic', 'Uplifting']","['Powerful', 'Heroic', 'Sparkling']",3
Choose me,90,D minor,Female,Metal,"['Energetic', 'Uplifting', 'Aggressive']","['Unpolished', 'Bold', 'Powerful']",3
hand crushed by a mallet,170,C# minor,Female,Pop,"['Sexy', 'Chill', 'Uplifting']","['Cool', 'Mysterious', 'Unpolished']",2
"hand crushed by a mallet (Remix) [feat. Fall Out Boy, Craig Owens, Nicole Dollanganger]",174,C# minor,Male,Rock,"['Energetic', 'Aggressive', 'Uplifting']","['Bold', 'Unpolished', 'Powerful']",3
In the End,105,Db major,Male,Metal,"['Energetic', 'Aggressive', 'Uplifting']","['Playful', 'Cool', 'Warm']",3
444+222,77,G# minor,Male,Rap/Hip-Hop,"['Energetic', 'Aggressive', 'Uplifting']","['Unpolished', 'Bold', 'Playful']",3
shake ya ass (feat. P-Lo),100,D# minor,Male,Rap/Hip-Hop,"['Sexy', 'Uplifting', 'Chill']","['Cool', 'Luxurious', 'Sophisticated']",3
Lemonade,142,G minor,Male,Rap/Hip-Hop,"['Uplifting', 'Energetic', 'Sexy']","['Playful', 'Warm', 'Cool']",3
all I want is you,146,B major,Female,Electronic Dance,"['Uplifting', 'Energetic', 'Happy']","['Cool', 'Unpolished', 'Luxurious']",3
Blue Bills (feat. $NOT & Fenix Flexin),96,G minor,Male,Rap/Hip-Hop,"['Energetic', 'Aggressive', 'Uplifting']","['Unpolished', 'Bold', 'Cool']",3
Memoirs of a Gorilla,110,C major,Male,Rap/Hip-Hop,"['Uplifting', 'Energetic', 'Sexy']","['Unpolished', 'Bold', 'Cool']",3
Famous Last Words,129,D minor,Male,Metal,"['Energetic', 'Uplifting', 'Happy']","['Powerful', 'Unpolished', 'Epic']",3
Baby Girl,121,F# minor,Female,Electronic Dance,"['Uplifting', 'Energetic', 'Sexy']","['Cool', 'Luxurious', 'Sophisticated']",3
Glock In My Lap,130,Bb minor,Male,Rap/Hip-Hop,"['Dark', 'Scary', 'Ethereal']","['Bold', 'Unpolished', 'Cool']",2
Song 2,130,F minor,Male,Rock,"['Energetic', 'Aggressive', 'Uplifting']","['Bold', 'Unpolished', 'Powerful']",3
Bulls On Parade,84,F minor,Female,Rock,"['Energetic', 'Aggressive', 'Uplifting']","['Bold', 'Unpolished', 'Powerful']",3
needy,174,Eb major,Female,RnB,"['Chill', 'Calm', 'Romantic']","['Cool', 'Retro', 'Powerful']",1
1901,144,C major,Female,Pop,"['Energetic', 'Uplifting', 'Happy']","['Sparkling', 'Epic', 'Heroic']",3
2 On (feat. ScHoolboy Q),101,D major,Male,Rap/Hip-Hop,"['Chill', 'Sexy', 'Ethereal']","['Cool', 'Luxurious', 'Warm']",2
679 (feat. Remy Boyz),95,E minor,Male,Rap/Hip-Hop,"['Sexy', 'Uplifting', 'Chill']","['Cool', 'Unpolished', 'Bold']",3
Afraid,84,F# minor,Female,Rock,"['Epic', 'Energetic', 'Uplifting']","['Epic', 'Powerful', 'Unpolished']",3
Atlantic City,111,F# minor,Male,Rock,"['Epic', 'Energetic', 'Happy']","['Cool', 'Warm', 'Unpolished']",3
Born in the U.S.A.,125,B major,Male,Rock,"['Energetic', 'Uplifting', 'Epic']","['Sparkling', 'Powerful', 'Heroic']",3
Burning,75,B minor,Male,Rock,"['Chill', 'Romantic', 'Calm']","['Sparkling', 'Warm', 'Ethereal']",1
The Denial Twist,93,C minor,Male,Rock,"['Chill', 'Happy', 'Ethereal']","['Powerful', 'Unpolished', 'Heroic']",2
Don't Swallow the Cap,87,D minor,Male,Pop,"['Sad', 'Ethereal', 'Chill']","['Mysterious', 'Cool', 'Unpolished']",1
Entropy,182,Ab major,Female,Rock,"['Energetic', 'Happy', 'Uplifting']","['Playful', 'Warm', 'Powerful']",3
Everlong,158,D major,Male,Rock,"['Energetic', 'Uplifting', 'Aggressive']","['Powerful', 'Unpolished', 'Heroic']",3
Fast Car,104,A major,Male,Folk/Country,"['Romantic', 'Chill', 'Sad']","['Warm', 'Playful', 'Sparkling']",2
Radio Edit,128,G major,None,Electronic Dance,"['Energetic', 'Uplifting', 'Happy']","['Playful', 'Bold', 'Warm']",3
gec 2 Ü,85,C major,Female,Pop,"['Energetic', 'Happy', 'Uplifting']","['Powerful', 'Bold', 'Unpolished']",3
The Guillotine,108,E minor,Male,Rap/Hip-Hop,"['Energetic', 'Uplifting', 'Aggressive']","['Bold', 'Unpolished', 'Heroic']",3
"From ""Footloose"" Soundtrack",150,A minor,Female,Pop,"['Energetic', 'Epic', 'Uplifting']","['Heroic', 'Powerful', 'Epic']",3
Ignoring My Heart,75,A minor,None,Electronic Dance,"['Energetic', 'Uplifting', 'Aggressive']","['Bold', 'Cool', 'Powerful']",3
Jet,134,D major,Male,Rock,"['Energetic', 'Uplifting', 'Epic']","['Heroic', 'Powerful', 'Epic']",3
JU$T (feat. Pharrell Williams & Zack de la Rocha),133,Bb minor,Male,Rap/Hip-Hop,"['Dark', 'Energetic', 'Aggressive']","['Sparse', 'Warm', 'Unpolished']",3
Mazel Tron,180,B minor,Male,Rap/Hip-Hop,"['Energetic', 'Uplifting', 'Aggressive']","['Bold', 'Unpolished', 'Cool']",3
Teardrops,96,D minor,Male,Rock,"['Energetic', 'Aggressive', 'Epic']","['Powerful', 'Epic', 'Unpolished']",3
Suddenly I See,200,D major,Female,Pop,"['Happy', 'Chill', 'Uplifting']","['Sparkling', 'Warm', 'Ethereal']",2
